ID,title,content,label
SYN_001,현대차 아이오닉 9 사전계약 첫날 1만대 돌파,현대자동차의 대형 전기 SUV 아이오닉 9가 사전계약 첫날 1만대를 돌파했다. 현대차는 아이오닉 9의 가격을 합리적으로 책정하겠다고 약속했으며 기아 EV9의 저조한 판매를 교훈 삼아 가격 전략을 수립했다. 아이오닉 9는 3열 시트를 갖춘 패밀리 전기차로 실용성을 강조한 모델이다.,1
SYN_002,삼성전자 HBM3E 엔비디아 테스트 통과 임박,삼성전자가 5세대 고대역폭 메모리(HBM3E) 8단 제품의 엔비디아 품질 테스트를 곧 통과할 것으로 보인다. 업계에 따르면 삼성전자는 HBM3E 8단 제품에 대한 엔비디아 테스트를 마무리 단계에 있으며 이르면 이달 내 공급 계약을 체결할 전망이다.,0
SYN_003,기아 EV6 페이스리프트 출시 예정,기아가 EV6 페이스리프트 모델을 2025년 상반기 출시 예정이다. 신형 EV6는 배터리 용량 증가와 충전 속도 개선 주행거리 연장 등이 주요 개선점으로 꼽힌다. 기아는 EV6로 북미 올해의 차를 수상한 바 있다.,1
SYN_004,SK하이닉스 2024년 영업이익 20조원 돌파,SK하이닉스가 2024년 연간 영업이익 20조원을 돌파했다. AI 서버용 HBM 수요 급증이 실적 개선의 주요 요인으로 분석된다. SK하이닉스는 HBM3E 12단 제품을 양산 중이며 16단 제품 개발도 공식화했다.,0
SYN_005,현대모비스 자율주행 레벨4 기술 공개,현대모비스가 CES 2025에서 레벨4 자율주행 기술을 공개했다. 이번에 선보인 기술은 운전자 개입 없이 특정 구간에서 완전 자율주행이 가능한 수준이다. 현대모비스는 2027년까지 상용화를 목표로 하고 있다.,1
SYN_006,LG에너지솔루션 북미 배터리 공장 가동,LG에너지솔루션이 미국 오하이오주에 건설한 배터리 공장이 본격 가동을 시작했다. 이 공장은 연간 40GWh 생산 능력을 갖추고 있으며 GM 등 북미 완성차 업체에 배터리를 공급할 예정이다.,1
SYN_007,카카오 AI 모델 칸토르 공개,카카오가 자체 개발한 거대언어모델 칸토르를 공개했다. 칸토르는 한국어에 특화된 AI 모델로 챗봇 번역 요약 등 다양한 서비스에 적용될 예정이다. 카카오는 연내 B2B 서비스를 시작할 계획이다.,0
SYN_008,테슬라 사이버트럭 한국 출시 검토,테슬라가 사이버트럭의 한국 출시를 검토 중인 것으로 알려졌다. 테슬라 코리아는 사이버트럭의 국내 인증 절차를 진행 중이며 이르면 2025년 하반기 출시될 가능성이 있다. 사이버트럭은 스테인리스 스틸 차체의 독특한 디자인으로 주목받고 있다.,1
SYN_009,네이버 하이퍼클로바X 일본 진출,네이버가 자체 개발한 초거대 AI 하이퍼클로바X를 일본 시장에 출시한다. 네이버는 소프트뱅크와 협력해 일본 기업 대상 B2B 서비스를 제공할 예정이다. 하이퍼클로바X는 한국어와 일본어에 특화된 성능을 보유하고 있다.,0
SYN_010,BMW 뉴 5시리즈 전기차 한국 출시,BMW가 뉴 5시리즈 전기차 버전인 i5를 한국 시장에 출시했다. i5는 1회 충전으로 최대 582km 주행이 가능하며 BMW의 최신 iDrive 시스템이 탑재됐다. 가격은 8990만원부터 시작한다.,1
SYN_011,한국은행 기준금리 연 3.0% 동결,한국은행이 기준금리를 연 3.0%로 동결했다. 금융통화위원회는 물가 안정과 경제 성장 사이의 균형을 고려해 현 수준 유지를 결정했다. 시장에서는 상반기 중 금리 인하 가능성을 전망하고 있다.,0
SYN_012,쌍용차 전기 SUV 토레스 EVX 유럽 진출,쌍용자동차(KG모빌리티)가 전기 SUV 토레스 EVX로 유럽 시장 진출에 나선다. 토레스 EVX는 1회 충전으로 433km 주행이 가능하며 유럽 안전 기준을 모두 충족했다. 영국을 시작으로 독일 프랑스 등으로 판매를 확대할 계획이다.,1
SYN_013,애플 비전프로 한국 출시 연기,애플이 혼합현실(MR) 헤드셋 비전프로의 한국 출시를 연기했다. 당초 2024년 내 출시 예정이었으나 현지화 작업과 규제 승인 절차로 2025년으로 미뤄졌다. 비전프로는 공간 컴퓨팅을 구현하는 차세대 기기로 주목받고 있다.,0
SYN_014,현대차그룹 2024년 글로벌 판매 730만대 달성,현대차그룹이 2024년 전 세계에서 730만대를 판매하며 글로벌 3위 자동차 그룹 지위를 공고히 했다. 하이브리드와 전기차 판매 호조가 실적을 견인했으며 SUV 라인업 강화도 주효했다. 영업이익은 전년 대비 15% 증가한 것으로 추정된다.,1
SYN_015,쿠팡 로켓배송 새벽배송 지역 확대,쿠팡이 로켓배송 새벽배송 서비스 지역을 전국으로 확대한다. 기존 수도권과 주요 도시에 한정됐던 새벽배송을 지방 중소도시까지 확장하는 것이다. 쿠팡은 물류센터 추가 건설과 배송 인력 충원을 진행 중이다.,0
SYN_016,제네시스 GV90 전기 SUV 스파이샷 포착,제네시스의 플래그십 전기 SUV GV90 스파이샷이 포착됐다. GV90은 현대차그룹의 E-GMP 플랫폼 기반으로 개발되며 레벨3 자율주행 기능을 탑재할 예정이다. 2026년 출시를 목표로 개발이 진행 중이다.,1
SYN_017,마이크로소프트 한국 데이터센터 추가 투자,마이크로소프트가 한국 데이터센터 추가 투자를 발표했다. 향후 5년간 72억 달러를 투자해 AI와 클라우드 인프라를 확충할 계획이다. 이번 투자로 한국이 아시아 AI 허브로 도약할 것으로 기대된다.,0
SYN_018,폭스바겐 ID.7 전기 세단 한국 상륙,폭스바겐이 전기 세단 ID.7을 한국에 출시한다. ID.7은 MEB 플랫폼 기반의 중형 세단으로 1회 충전 시 최대 615km 주행이 가능하다. 폭스바겐은 한국 전기차 시장 공략을 본격화할 방침이다.,1
SYN_019,삼성 갤럭시 S25 시리즈 사전예약 시작,삼성전자가 갤럭시 S25 시리즈 사전예약을 시작했다. S25 시리즈는 퀄컴 스냅드래곤 8 엘리트 칩셋을 탑재하고 AI 기능을 대폭 강화했다. 카메라 성능도 크게 개선돼 아이폰과의 경쟁이 치열해질 전망이다.,0
